username,domain,identifier,registration_time,expiration_time,metadata_address
user1,A.0.a,A.0.a/nwVr546wUenUqxMPlW23I4vKpHrQm1VY,2024/12/02 14:56:49,,
user2,A.0.a,A.0.a/7aYaFXhfJzgjy7inbIYnoV8HPvWTQ86h,2024/12/02 14:56:49,,
user3,A.0.a,A.0.a/YYFtkYguI8H3ovfifvlFqgppqbTwdsDk,2024/12/02 14:56:49,,
user4,A.0.a,A.0.a/EjzIwFcLKXozW8emc1lM86I1Fs0TTUMf,2024/12/02 14:56:49,,
user5,A.0.a,A.0.a/jAEWectXi4jXGdo5V3ZhI4jSHu9RVgVv,2024/12/02 14:56:49,,
user6,A.0.a,A.0.a/pEZoLMFy82iQDnuOUnOL2Tl8mVv5xjgJ,2024/12/02 14:56:49,,
user7,A.0.a,A.0.a/OKH4W6nooMYVyJrv4UXPKJvNpfJbrqNz,2024/12/02 14:56:49,,
user8,A.0.a,A.0.a/S6jIM8UMNRAfvzbagZ5pn21CCqsUKB1r,2024/12/02 14:56:49,,
user9,A.0.a,A.0.a/KH1ZImR6y0o45AVRJWT9VK9t0pmLSiIb,2024/12/02 14:56:49,,
user10,A.0.a,A.0.a/hauDkv6xR7TUmp76HNYhPIRVP9Yj0I1p,2024/12/02 14:56:49,,
user11,A.0.a,A.0.a/GoT83K9eikocJBDYe7mGjVdaLMaclvq1,2024/12/02 14:56:49,,
user12,A.0.a,A.0.a/SAA2AwdDSirD2KiTNPDUtRj5uIzPNSSO,2024/12/02 14:56:49,,
user13,A.0.a,A.0.a/LScQiAQ0EkQBdCbGjdZKP8Vf9TKADiEo,2024/12/02 14:56:49,,
user14,A.0.a,A.0.a/ahpukSUJa0rsjxiv3XL3MC2YiA3Piqgn,2024/12/02 14:56:49,,
user15,A.0.a,A.0.a/o8licn3OTuDYH4jYBI1CITBjncXwrFqa,2024/12/02 14:56:49,,
user16,A.0.a,A.0.a/4BemFJNe1Bmbn3jtEDBGrm6245bW0GKY,2024/12/02 14:56:49,,
user17,A.0.a,A.0.a/DobDdzeM83uIOe07vyXA0BePBbBx1bzp,2024/12/02 14:56:49,,
user18,A.0.a,A.0.a/v7HzxN4jbFjiCyiC3mIwGsJXH4G1z41j,2024/12/02 14:56:49,,
user19,A.0.a,A.0.a/NE3i5RMIjedEtyQ4pvwiuyoyz4Zff0f3,2024/12/02 14:56:49,,
user20,A.0.a,A.0.a/7EsiMSlzehsRbbHEYG5CrfpCTVWj4h2Y,2024/12/02 14:56:49,,
user21,A.0.a,A.0.a/YtdcYm3xzXA6RBGLb0TdcS8NCjxXmKl9,2024/12/02 14:56:49,,
user22,A.0.a,A.0.a/fcNTP3TryxZip1kdq4j2eQjqKWrZzXEl,2024/12/02 14:56:49,,
user23,A.0.a,A.0.a/iZE3sfCVRTx1giAUtKH1d2Qd64mOaoYF,2024/12/02 14:56:49,,
user24,A.0.a,A.0.a/e0iQy8ZoPD9hl0SIxGb5vEQAIvDfoici,2024/12/02 14:56:49,,
user25,A.0.a,A.0.a/ooUt1X6MFxAz7oaaJpfSXlWEescQOLux,2024/12/02 14:56:49,,
user26,A.0.a,A.0.a/r25TmH5aQg1Wo52nnV3l0LzzlUIKpT5O,2024/12/02 14:56:49,,
user27,A.0.a,A.0.a/cFKdyETCO6DPxUex3peCBtENrPh6giL5,2024/12/02 14:56:49,,
user28,A.0.a,A.0.a/lAcB3w3p8snNBaEjzjsCtSU1t0DfRkUp,2024/12/02 14:56:49,,
user29,A.0.a,A.0.a/MAqWWhoUNBPtSkxrqlpuzcWvUudGs7p8,2024/12/02 14:56:49,,
user30,A.0.a,A.0.a/NRf2fSlQeIDHc5x2eZXLCASIDMy9CYcZ,2024/12/02 14:56:49,,
user31,A.0.a,A.0.a/qYenwVZajy1QGPYP9UwaKQo9JwsHktky,2024/12/02 14:56:49,,
user32,A.0.a,A.0.a/4oVjGM0205OH9bby3aEC512XIqdF9kRn,2024/12/02 14:56:49,,
user33,A.0.a,A.0.a/wryC2XLlWcmiXyjgBPUQkF3vz4lXsm8Z,2024/12/02 14:56:49,,
